Result1, Result2,   Result3,   Result
4271.00,         3047.00,         381.00,         3
3091.00,         132.00,         3540.00,         3
1980.00,         2831.00,         695.00,         3
1820.00,         2691.00,         4025.00,         3
1002.00,         2179.00,         3869.00,         3
3780.00,         2695.00,         380.00,         3
1411.00,         456.00,         4438.00,         3
2383.00,         523.00,         3244.00,         3
698.00,         3856.00,         856.00,         3
856.00,         4451.00,         3391.00,         3
3985.00,         1232.00,         4057.00,         3
3523.00,         1806.00,         2245.00,         3
3147.00,         1211.00,         130.00,         2
1649.00,         2200.00,         977.00,         3
4203.00,         3152.00,         2108.00,         3
1183.00,         1458.00,         2501.00,         3
2379.00,         4045.00,         714.00,         3
2669.00,         2821.00,         2256.00,         3
3482.00,         3621.00,         2739.00,         3
985.00,         2376.00,         2252.00,         3
637.00,         1510.00,         769.00,         3
1604.00,         3912.00,         3585.00,         3
4135.00,         3002.00,         4459.00,         3
3569.00,         3857.00,         438.00,         3
335.00,         1078.00,         1261.00,         3
667.00,         517.00,         360.00,         1
3729.00,         3885.00,         3541.00,         3
1475.00,         915.00,         3224.00,         3
2635.00,         446.00,         391.00,         1
926.00,         67.00,         3362.00,         1
3524.00,         1913.00,         629.00,         3
1590.00,         2838.00,         1157.00,         3
580.00,         951.00,         4416.00,         3
2333.00,         664.00,         385.00,         1
2923.00,         4344.00,         3693.00,         3
828.00,         3741.00,         2507.00,         3
1526.00,         2238.00,         2295.00,         3
3171.00,         2605.00,         1588.00,         3
4190.00,         477.00,         4000.00,         3
2473.00,         1363.00,         3946.00,         3
2349.00,         847.00,         4062.00,         3
2595.00,         2882.00,         2874.00,         3
933.00,         1853.00,         2435.00,         3
968.00,         1631.00,         363.00,         3
3750.00,         3626.00,         506.00,         3
813.00,         256.00,         192.00,         1
1008.00,         259.00,         2288.00,         1
3219.00,         2549.00,         3343.00,         3
1064.00,         1838.00,         3278.00,         3
1228.00,         2640.00,         369.00,         3
1021.00,         3573.00,         1194.00,         3
4407.00,         528.00,         3564.00,         3
1468.00,         3847.00,         2384.00,         3
3076.00,         3088.00,         3822.00,         3
1951.00,         638.00,         4237.00,         3
601.00,         2693.00,         746.00,         3
3301.00,         518.00,         199.00,         3
710.00,         4470.00,         2354.00,         3
289.00,         664.00,         2658.00,         3
1390.00,         3870.00,         1223.00,         3
3912.00,         104.00,         2753.00,         3
2537.00,         2647.00,         4424.00,         3
960.00,         4061.00,         2181.00,         3
1465.00,         1246.00,         4098.00,         3
2422.00,         469.00,         87.00,         3
473.00,         454.00,         2125.00,         3
2884.00,         2802.00,         2937.00,         3
2529.00,         1031.00,         3964.00,         3
2902.00,         171.00,         1000.00,         3
239.00,         660.00,         905.00,         1
1495.00,         1131.00,         2150.00,         1
2735.00,         3169.00,         1378.00,         1
4299.00,         1324.00,         2685.00,         1
4013.00,         1724.00,         2552.00,         1
3377.00,         2789.00,         3423.00,         3
1155.00,         236.00,         1563.00,         3
3749.00,         3334.00,         3054.00,         3
1630.00,         639.00,         1872.00,         3
676.00,         1728.00,         1960.00,         3
2362.00,         639.00,         2687.00,         3
1514.00,         1964.00,         1396.00,         3
2811.00,         1414.00,         2712.00,         3
3906.00,         415.00,         3104.00,         3
3082.00,         3792.00,         366.00,         3
3674.00,         1063.00,         3842.00,         3
2577.00,         2093.00,         3568.00,         3
585.00,         2159.00,         4350.00,         3
4318.00,         173.00,         4175.00,         3
2883.00,         2897.00,         1824.00,         3
447.00,         3576.00,         4338.00,         3
257.00,         3066.00,         1858.00,         3
2392.00,         4134.00,         2304.00,         3
2977.00,         2156.00,         94.00,         3
3566.00,         152.00,         3969.00,         3
2368.00,         411.00,         1433.00,         3
2153.00,         196.00,         1848.00,         3
4439.00,         2908.00,         2140.00,         3
1096.00,         15.00,         4131.00,         3
4365.00,         1951.00,         1593.00,         3
1243.00,         1240.00,         3154.00,         3
315.00,         2206.00,         2613.00,         3
235.00,         1422.00,         1946.00,         3
Result1, Result2,   Result3,   Result
41.00,         1092.00,         4130.00,         0
4.00,         463.00,         2117.00,         3
22.00,         3270.00,         1932.00,         3
40.00,         3605.00,         2970.00,         3
19.00,         1804.00,         3576.00,         3
37.00,         491.00,         1008.00,         2
41.00,         125.00,         4396.00,         3
40.00,         3815.00,         2923.00,         3
41.00,         760.00,         1469.00,         2
68.00,         2748.00,         665.00,         3
62.00,         1012.00,         94.00,         2
1.00,         4125.00,         2554.00,         2
6.00,         3683.00,         2506.00,         2
11.00,         1757.00,         355.00,         2
8.00,         3956.00,         1839.00,         2
53.00,         1057.00,         4026.00,         2
15.00,         1882.00,         2258.00,         2
12.00,         880.00,         1505.00,         2
42.00,         3726.00,         2709.00,         2
6.00,         448.00,         3259.00,         3
4.00,         2939.00,         2041.00,         3
30.00,         3829.00,         1742.00,         3
51.00,         1333.00,         3781.00,         3
54.00,         4405.00,         2323.00,         3
56.00,         393.00,         4380.00,         3
36.00,         1973.00,         57.00,         2
36.00,         1115.00,         3724.00,         2
74.00,         2854.00,         1361.00,         2
6.00,         1656.00,         2378.00,         2
51.00,         746.00,         3878.00,         3
74.00,         286.00,         3207.00,         3
36.00,         1145.00,         351.00,         3
75.00,         1751.00,         881.00,         3
43.00,         1375.00,         885.00,         3
28.00,         2950.00,         4049.00,         3
78.00,         417.00,         1345.00,         2
13.00,         1569.00,         1758.00,         2
15.00,         4348.00,         1002.00,         2
66.00,         2458.00,         1844.00,         2
61.00,         1829.00,         2539.00,         2
70.00,         2232.00,         1956.00,         2
31.00,         2597.00,         171.00,         3
66.00,         3050.00,         1291.00,         3
31.00,         2219.00,         3636.00,         3
18.00,         1980.00,         355.00,         3
67.00,         4283.00,         1878.00,         3
59.00,         3297.00,         695.00,         3
79.00,         2458.00,         4242.00,         3
35.00,         177.00,         361.00,         1
77.00,         2191.00,         1721.00,         1
3.00,         2469.00,         2427.00,         1
17.00,         1556.00,         145.00,         2
22.00,         1439.00,         4260.00,         2
6.00,         936.00,         3869.00,         3
49.00,         329.00,         3322.00,         3
7.00,         569.00,         893.00,         3
40.00,         1871.00,         2093.00,         3
75.00,         3857.00,         3748.00,         3
26.00,         945.00,         140.00,         1
59.00,         2441.00,         2252.00,         1
22.00,         3201.00,         3242.00,         1
6.00,         2949.00,         3762.00,         1
12.00,         1394.00,         1061.00,         1
12.00,         4071.00,         1851.00,         1
3.00,         1863.00,         1400.00,         1
54.00,         2309.00,         3286.00,         1
16.00,         11.00,         3732.00,         3
23.00,         53.00,         4002.00,         3
65.00,         120.00,         2863.00,         3
50.00,         3871.00,         4475.00,         3
14.00,         668.00,         3417.00,         3
72.00,         2028.00,         962.00,         3
63.00,         1663.00,         3170.00,         3
50.00,         4136.00,         2614.00,         3
1.00,         3248.00,         3970.00,         3
29.00,         2890.00,         3135.00,         3
29.00,         3785.00,         3617.00,         3
47.00,         3830.00,         3858.00,         3
55.00,         3804.00,         3941.00,         3
77.00,         1661.00,         3220.00,         3
55.00,         1229.00,         2956.00,         3
47.00,         2161.00,         2807.00,         3
20.00,         45.00,         3500.00,         3
60.00,         3445.00,         1319.00,         3
24.00,         3252.00,         3359.00,         3
69.00,         294.00,         492.00,         1
4.00,         2045.00,         4066.00,         1
61.00,         2549.00,         2537.00,         1
68.00,         3500.00,         1530.00,         1
4.00,         4480.00,         1033.00,         1
3.00,         2102.00,         3799.00,         1
75.00,         905.00,         4280.00,         3
48.00,         4291.00,         4145.00,         3
59.00,         2104.00,         3936.00,         3
64.00,         789.00,         4336.00,         3
57.00,         968.00,         3593.00,         3
61.00,         1311.00,         4113.00,         3
61.00,         2269.00,         1813.00,         3
59.00,         1423.00,         3238.00,         3
25.00,         3270.00,         1383.00,         3
34.00,         2836.00,         472.00,         3
43.00,         2808.00,         2046.00,         3
17.00,         541.00,         4226.00,         3
34.00,         2640.00,         3453.00,         3
7.00,         1019.00,         1276.00,         3
30.00,         3304.00,         1440.00,         3
2.00,         3235.00,         3263.00,         3
57.00,         2258.00,         2046.00,         3
50.00,         1504.00,         3473.00,         3
43.00,         2978.00,         3826.00,         3
36.00,         4038.00,         2007.00,         3
15.00,         1279.00,         679.00,         3
76.00,         4165.00,         4260.00,         3
33.00,         704.00,         1162.00,         2
22.00,         740.00,         1349.00,         2
49.00,         4330.00,         636.00,         3
65.00,         3549.00,         3363.00,         3
58.00,         2944.00,         2686.00,         3
41.00,         2359.00,         1079.00,         3
58.00,         4181.00,         3251.00,         3
30.00,         3682.00,         3977.00,         3
33.00,         3751.00,         588.00,         3
28.00,         1120.00,         3355.00,         3
22.00,         512.00,         4156.00,         3
37.00,         893.00,         3771.00,         3
46.00,         921.00,         2269.00,         3
31.00,         2694.00,         430.00,         3
78.00,         130.00,         2282.00,         3
58.00,         373.00,         2723.00,         3
47.00,         3383.00,         1338.00,         3
21.00,         3096.00,         825.00,         3
34.00,         323.00,         1147.00,         2
0.00,         2629.00,         3879.00,         2
7.00,         2254.00,         3578.00,         2
25.00,         3027.00,         3093.00,         2
10.00,         682.00,         2114.00,         3
65.00,         4468.00,         3455.00,         3
60.00,         2432.00,         82.00,         3
35.00,         3137.00,         2867.00,         3
63.00,         38.00,         3096.00,         3
70.00,         279.00,         2693.00,         3
63.00,         1299.00,         577.00,         3
10.00,         3056.00,         1262.00,         3
26.00,         1059.00,         1010.00,         3
64.00,         3872.00,         1659.00,         3
49.00,         4282.00,         591.00,         3
62.00,         2728.00,         2495.00,         3
8.00,         797.00,         3913.00,         3
42.00,         4027.00,         1580.00,         3
18.00,         3600.00,         4271.00,         3
21.00,         1213.00,         1902.00,         3
6.00,         1529.00,         3340.00,         3
71.00,         3816.00,         3754.00,         3
13.00,         3379.00,         4057.00,         3
25.00,         4190.00,         1440.00,         3
37.00,         2007.00,         1553.00,         3
5.00,         1925.00,         109.00,         2
40.00,         4495.00,         3188.00,         2
5.00,         2113.00,         3120.00,         2
75.00,         4326.00,         1903.00,         2
76.00,         4451.00,         1909.00,         2
65.00,         825.00,         1369.00,         2
76.00,         3120.00,         4205.00,         2
7.00,         2933.00,         1308.00,         2
33.00,         837.00,         3678.00,         3
55.00,         3672.00,         942.00,         3
34.00,         3609.00,         4018.00,         3
63.00,         4325.00,         930.00,         3
56.00,         3336.00,         4366.00,         3
72.00,         783.00,         1790.00,         2
49.00,         502.00,         1580.00,         2
12.00,         3196.00,         1394.00,         2
55.00,         3688.00,         2207.00,         2
59.00,         2268.00,         3140.00,         2
39.00,         751.00,         9.00,         1
0.00,         2976.00,         4258.00,         1
51.00,         468.00,         462.00,         1
6.00,         1988.00,         3116.00,         1
30.00,         670.00,         1457.00,         2
47.00,         1599.00,         358.00,         2
7.00,         4358.00,         219.00,         3
48.00,         388.00,         3734.00,         3
38.00,         4334.00,         2301.00,         3
18.00,         689.00,         655.00,         3
49.00,         3386.00,         431.00,         3
11.00,         2342.00,         3363.00,         3
7.00,         4358.00,         3379.00,         3
16.00,         692.00,         1889.00,         2
6.00,         2030.00,         2442.00,         2
22.00,         1958.00,         2113.00,         2
52.00,         107.00,         1755.00,         2
1.00,         2433.00,         3614.00,         2
65.00,         1420.00,         555.00,         2
8.00,         247.00,         1663.00,         2
64.00,         2626.00,         1092.00,         2
53.00,         4057.00,         931.00,         3
7.00,         3983.00,         3832.00,         3
10.00,         148.00,         1707.00,         2
1.00,         1291.00,         428.00,         2
23.00,         3015.00,         2662.00,         2
75.00,         4058.00,         1723.00,         2
5.00,         2618.00,         1085.00,         2
71.00,         378.00,         4497.00,         3
69.00,         4458.00,         2812.00,         3
75.00,         2927.00,         1512.00,         3
9.00,         3020.00,         199.00,         3
73.00,         2753.00,         470.00,         3
61.00,         2031.00,         87.00,         3
44.00,         2330.00,         3769.00,         3
64.00,         917.00,         375.00,         3
